"doctor","num_visit"
"Anna Brown","6"
"Brian Garcia","6"
"Richard Davis","6"
"Alicia Smith","6"
"Michael Miller","6"
"Steven Brown","6"
"Melissa Johnson","6"
"John Gonzalez","6"
"Anthony Jones","6"
"Christine Smith","6"
"Christopher Perez","6"
"John Brown","6"
"Daniel Rodriguez","6"
"Eric Rodriguez","6"
"James Harris","6"
"Tiffany Smith","6"
"Jason Lee","6"
"Stephanie Davis","6"
"David Anderson","6"
"Lisa Moore","6"
"Robert Brown","6"
"Michael Robinson","6"
"Lisa Miller","6"
"Michael Moore","6"
"George Smith","6"
"Christopher Allen","6"
"John Garcia","6"
"John Jackson","6"
"Nicole Wilson","6"
"Daniel Parker","6"
"Jessica Martinez","6"
"Amanda Gonzalez","6"
"Jessica Lewis","6"
"David Davis","6"
"John Hernandez","6"
"Anthony Perez","6"
"Lisa Thompson","6"
"James Garcia","6"
"Michael Garcia","6"
"Adam Smith","6"
"Melissa Jones","6"
"James Gonzalez","6"
"David Wilson","6"
"David Edwards","6"
"Kevin Smith","6"
"Rebecca Williams","6"
"Kenneth Johnson","6"
"Jason Jones","6"
"Brian Thomas","6"
"Christopher Jones","6"
"Joshua Jones","6"
"Amy Williams","6"
"Kevin Moore","6"
"Anthony Thomas","6"
"Jennifer Gonzalez","6"
"Jennifer Anderson","6"
"Robin Smith","6"
"Christopher Ross","6"
"Amy Miller","6"
"Melissa Brown","6"
"John Harris","6"
"Jennifer Brown","6"
"Lisa Lopez","6"
"Matthew Harris","6"
"Kimberly Anderson","6"
"Charles Hernandez","6"
"William Williams","6"
"Nicole Brown","6"
"Katherine Brown","6"
"Joseph Williams","6"
"Paul Smith","6"
"David Garcia","6"
"David Martin","6"
"Robert Jackson","6"
"Jonathan Miller","6"
"Andrew Jones","6"
"Jeffrey Jones","6"
"James Taylor","6"
"Rebecca Davis","6"
"Lisa Wilson","6"
"Michael Phillips","6"
"Charles Smith","6"
"Thomas Jackson","6"
"Emily Williams","6"
"Aaron Brown","6"
"Michelle Davis","6"
"Michael Lee","6"
"Kimberly Smith","6"
"Melissa Jackson","6"
"Lisa Johnson","6"
"Sarah Anderson","6"
"Elizabeth Jones","6"
"Jennifer Taylor","6"
"Christopher Mitchell","6"
"Michael Roberts","5"
"Kelly Johnson","5"
"Lauren Brown","5"
"James Thomas","5"
"Rachel Johnson","5"
"David Moore","5"
"Michael Hernandez","5"
"Angela Brown","5"
"Jamie Jones","5"
"Sarah Davis","5"
"Elizabeth Campbell","5"
"Elizabeth Garcia","5"
"Cynthia Brown","5"
"Stephanie Moore","5"
"Andrew Ellis","5"
"Justin Johnson","5"
"Michael Sanchez","5"
"Mary Johnson","5"
"Robert Thomas","5"
"Kevin Jones","5"
"Michelle Smith","5"
"David Diaz","5"
"Bryan Jones","5"
"Michael Carter","5"
"Jennifer White","5"
"Jacob Garcia","5"
"Jessica Davis","5"
"Sarah Hill","5"
"David Walker","5"
"James Robinson","5"
"Sarah Smith","5"
"Lisa Martin","5"
"Barbara Brown","5"
"Brian Sanchez","5"
"Joseph Wright","5"
"Patrick Smith","5"
"James Jones","5"
"Matthew Johnson","5"
"John Morgan","5"
"Stephanie Lewis","5"
"Brian Jones","5"
"Daniel Moore","5"
"David Young","5"
"Michael Collins","5"
"Richard Johnson","5"
"Brittany Smith","5"
"Thomas Garcia","5"
"Kevin Johnson","5"
"John Miller","5"
"Mark Martinez","5"
"William Thomas","5"
"Diana Johnson","5"
"Elizabeth Wood","5"
"Mark Williams","5"
"Amy Jones","5"
"Brian Anderson","5"
"Elizabeth Rodriguez","5"
"Robert Ramirez","5"
"Kimberly Stewart","5"
"Sarah Brown","5"
"Matthew Miller","5"
"Jessica Brown","5"
"Stephanie Brown","5"
"John Anderson","5"
"Eric Harris","5"
"Danielle Jones","5"
"Richard Brown","5"
"Sarah Lopez","5"
"Zachary Smith","5"
"James Martinez","5"
"Amanda Garcia","5"
"Kimberly Miller","5"
"Michael Fisher","5"
"Sean Smith","5"
"Amber Johnson","5"
"Michael Harvey","5"
"Rebecca Miller","5"
"Jonathan Williams","5"
"William Moore","5"
"Daniel Ramirez","5"
"James Cook","5"
"Brandon Smith","5"
"Karen Smith","5"
"Michael Andrews","5"
"Michelle Johnson","5"
"Brandon Johnson","5"
"David Howard","5"
"Steven Jones","5"
"Thomas Davis","5"
"Robert Anderson","5"
"Christopher Martin","5"
"Megan Brown","5"
"Kelly Hill","5"
"James Freeman","5"
"Michelle Lee","5"
"Jennifer Perez","5"
"Christina Garcia","5"
"Timothy Williams","5"
"Linda Smith","5"
"Patricia Garcia","5"
"Brandon Garcia","5"
"Theresa Brown","5"
"Rebecca Brown","5"
"Shannon Jones","5"
"Elizabeth Jackson","5"
"Andrew Moore","5"
"David Harris","5"
"Michael Jackson","5"
"Amy Johnson","5"
"Lisa Perez","5"
"Jennifer Scott","5"
"Mary Williams","5"
"Scott Thomas","5"
"Jennifer Miller","5"
"Jennifer Harris","5"
"Douglas Johnson","5"
"Amanda Martinez","5"
"Michael Baker","5"
"Eric Taylor","5"
"Samantha Brown","5"
"Elizabeth Johnson","5"
"Christopher Matthews","5"
"Michelle Anderson","5"
"Robert Thompson","5"
"Mary Jones","5"
"Lisa Walker","5"
"Jacob Johnson","5"
"Elizabeth Williams","5"
"Richard Williams","5"
"Thomas Rodriguez","5"
"Anthony Williams","5"
"Anthony Rodriguez","5"
"Robert Roberts","5"
"Jessica Thompson","5"
"Jonathan Smith","5"
"William Jones","5"
"Amy Robinson","5"
"Jason Martinez","5"
"Christopher Rivera","5"
"Jennifer Young","5"
"Timothy Smith","5"
"John Taylor","5"
"Jason Smith","5"
"Jennifer Thomas","5"
"Lisa Adams","5"
"Joshua Johnson","5"
"Karen Parker","5"
"Amanda Clark","5"
"Sarah Jones","5"
"Laura Smith","5"
"Kevin Jackson","5"
"Mary Anderson","5"
"Anthony Martinez","5"
"Sara Thomas","5"
"Katherine Johnson","5"
"James Hill","5"
"Richard Thomas","5"
"Karen White","5"
"Tiffany Williams","5"
"James Anderson","5"
"Sarah Martinez","5"
"James White","5"
"Ryan Williams","5"
"Cynthia Smith","5"
"Robert Evans","5"
"Paul Jones","5"
"Christopher Moore","5"
"Christopher White","5"
"Christopher Sanchez","5"
"Jennifer Walker","5"
"David Hernandez","5"
"William Brown","5"
"Jessica Taylor","5"
"William Gonzalez","5"
"James Diaz","5"
"Kelly Brown","4"
"Amanda Perez","4"
"David Flores","4"
"Jordan Miller","4"
"Heather Howard","4"
"Mark Harris","4"
"Jennifer Ramirez","4"
"Douglas Smith","4"
"John Ortiz","4"
"Lisa Jordan","4"
"Sarah Hernandez","4"
"Lisa Scott","4"
"Sarah Murphy","4"
"Tracy Williams","4"
"Ronald Brown","4"
"Cindy Smith","4"
"Jason Stewart","4"
"Elizabeth Wilson","4"
"Matthew Wilson","4"
"Debbie Johnson","4"
"Christine Miller","4"
"Michelle Rogers","4"
"Daniel Garcia","4"
"Eric Thompson","4"
"Jason Brown","4"
"Matthew Barnes","4"
"Lisa Hernandez","4"
"David Perry","4"
"Richard Jones","4"
"Michelle Sanchez","4"
"Robert Wright","4"
"Amanda Jones","4"
"Richard Anderson","4"
"Kevin Green","4"
"Robert Nguyen","4"
"Justin Smith","4"
"Jerry Brown","4"
"Erik Garcia","4"
"Michael Curry","4"
"Timothy Taylor","4"
"Brian Miller","4"
"Christopher Cox","4"
"Jason Thomas","4"
"Kenneth Brown","4"
"Michael Perry","4"
"Jeffrey Wilson","4"
"Anthony Johnson","4"
"Mark Davis","4"
"Thomas Thompson","4"
"Jose Smith","4"
"Paul Miller","4"
"Philip Jackson","4"
"Nicole Garcia","4"
"Amy Brown","4"
"John Hansen","4"
"Sarah White","4"
"Susan Smith","4"
"Angela Williams","4"
"Jacob Smith","4"
"Andrew Torres","4"
"Kevin Ramirez","4"
"Joseph Goodwin","4"
"Joseph Garcia","4"
"Michelle Moore","4"
"Laura Davis","4"
"Jose Miller","4"
"Rachel Ramirez","4"
"Steven Martinez","4"
"Scott Cox","4"
"Jessica Cox","4"
"Steven Lopez","4"
"Joseph Davis","4"
"Mark Hamilton","4"
"Amanda Johnson","4"
"Michael Hill","4"
"Jeffrey Johnson","4"
"Michael Walker","4"
"Melinda Miller","4"
"David Hall","4"
"James Price","4"
"Daniel Torres","4"
"David Gonzalez","4"
"Daniel Murphy","4"
"Brian Barnes","4"
"Jason Williams","4"
"Mark Martin","4"
"William Martinez","4"
"Elizabeth Thomas","4"
"Brian Foster","4"
"Matthew Taylor","4"
"Ronald Smith","4"
"Kimberly Davis","4"
"Amanda Lee","4"
"Suzanne Jones","4"
"Michael Blake","4"
"Heather Adams","4"
"Thomas Smith","4"
"Emily Jackson","4"
"Michael White","4"
"Christopher Jackson","4"
"David Holt","4"
"Michael Vargas","4"
"Ryan Rodriguez","4"
"John Lopez","4"
"Justin Peterson","4"
"Sarah Adams","4"
"Sandra Garcia","4"
"Joseph Garrett","4"
"Charles Wilson","4"
"Lisa Lee","4"
"Dustin Williams","4"
"Kenneth Garcia","4"
"Andrew Jackson","4"
"Eric Lewis","4"
"Brandon Allen","4"
"Brian Walker","4"
"Robert Davis","4"
"Jennifer Lopez","4"
"Christopher Lopez","4"
"William Thompson","4"
"Kimberly Gonzalez","4"
"Christine Davis","4"
"James Reed","4"
"Scott Williams","4"
"Robert Salazar","4"
"Christina Martin","4"
"Michelle Garcia","4"
"Kevin Hall","4"
"Nicole Thomas","4"
"Kathryn Jones","4"
"Heather Moore","4"
"James Hughes","4"
"Steven Davis","4"
"Christopher Cruz","4"
"Michael Thompson","4"
"Megan Williams","4"
"Victoria Jones","4"
"Karen Ramirez","4"
"James Martin","4"
"Joshua Watson","4"
"John Brooks","4"
"Christopher Taylor","4"
"William Simmons","4"
"John Myers","4"
"Robert Clark","4"
"Melissa Williams","4"
"Jeffrey Harris","4"
"Lori Smith","4"
"Kevin Davis","4"
"David Clark","4"
"Mary King","4"
"Ashley Smith","4"
"Matthew Cook","4"
"David Newman","4"
"David Sims","4"
"Joseph Brown","4"
"Michael Barnes","4"
"Brenda Rodriguez","4"
"Elizabeth Taylor","4"
"Anthony Robinson","4"
"Jennifer Hall","4"
"Erica Davis","4"
"Annette Smith","4"
"David Foster","4"
"Diana Martinez","4"
"Maria Miller","4"
"Lisa Bell","4"
"Nicholas Johnson","4"
"Cheryl Smith","4"
"Michael Washington","4"
"Scott Allen","4"
"Stephanie Jones","4"
"James Watson","4"
"Gary Williams","4"
"Michael Turner","4"
"Sandra Moore","4"
"Amanda Morris","4"
"Timothy Miller","4"
"James Lee","4"
"Jessica Evans","4"
"James Palmer","4"
"David Price","4"
"Jennifer Richardson","4"
"David Weber","4"
"John Walker","4"
"Tracy Smith","4"
"David Powell","4"
"Lisa Payne","4"
"Michelle Clark","4"
"John Chambers","4"
"Robert Hill","4"
"Steven Williams","4"
"Nicholas Miller","4"
"Thomas Lopez","4"
"Sarah Ramirez","4"
"Julie Jones","4"
"Mark King","4"
"Stephanie Taylor","4"
"Sarah Miller","4"
"Michael Nguyen","4"
"Daniel Hernandez","4"
"Christopher Parker","4"
"Joshua Lopez","4"
"Brandon Miller","4"
"Cynthia Jackson","4"
"Daniel Morris","4"
"Victoria Lee","4"
"Christopher Gonzalez","4"
"Michael Stone","4"
"Gary Wilson","4"
"Laura Jones","4"
"Benjamin Smith","4"
"Melissa Miller","4"
"Erin Brown","4"
"Mark Campbell","4"
"Daniel Jackson","4"
"Christine Johnson","4"
"Angela Young","4"
"Jennifer Thompson","4"
"David West","4"
"Anthony Baker","4"
"Nicole Smith","4"
"William Scott","4"
"John Evans","4"
"Christina Smith","4"
"Kevin Mitchell","4"
"Steven Fisher","4"
"Nicole Barnes","4"
"Brandon Rodriguez","4"
"Jeffrey Smith","4"
"Brian Mitchell","4"
"Joseph Rodriguez","4"
"Michael Fuentes","4"
"John Nelson","4"
"Lisa Bailey","4"
"Alexander Smith","4"
"Lisa Kim","4"
"Jeffery Brown","4"
"Jamie Smith","4"
"James Rodriguez","4"
"Sean White","4"
"Paul Lopez","4"
"Sarah Nelson","4"
"Robert Hernandez","4"
"James Sanchez","4"
"Jacob Williams","4"
"Michael Ramirez","4"
"Valerie Smith","4"
"Maria Jones","4"
"John Watson","4"
"Jason Miller","4"
"Robert Martinez","4"
"Christina Miller","4"
"John Rodriguez","4"
"Melissa White","4"
"John White","4"
"Amanda Miller","4"
"Joshua Garcia","4"
"Joseph Miller","4"
"Jennifer Lee","4"
"William Carter","4"
"Mary Scott","4"
"Emily Taylor","4"
"John Cox","4"
"Sandra Smith","4"
"Michael Griffin","4"
"Ryan Miller","4"
"Matthew Nelson","4"
"Karen Brown","4"
"Steven Green","4"
"John Cruz","4"
"Michael Bowman","4"
"Elizabeth Davis","4"
"Jennifer Diaz","4"
"Michael Myers","4"
"Jennifer Moore","4"
"Jessica Anderson","4"
"Jacqueline Smith","4"
"Craig Collins","4"
"Nicholas Lee","4"
"Jason Hill","4"
"Tiffany Wilson","4"
"Raymond Williams","4"
"Keith Wilson","4"
"Kimberly Rogers","4"
"Michael Fleming","4"
"Robert Jimenez","4"
"Mark Lopez","4"
"Matthew Bennett","4"
"Sarah Wilson","4"
"Anthony Lopez","4"
"Emily Brown","4"
"David Taylor","4"
"Anthony Moore","4"
"Jason Gonzalez","4"
"William Hall","4"
"Matthew Thompson","4"
"Robert Collins","4"
"John Sanders","4"
"Brian Williams","4"
"Sarah Walker","4"
"William Robinson","4"
"Sara Rodriguez","4"
"Amy Anderson","4"
"Steven Smith","4"
"Thomas Ramos","4"
"Jason Phillips","4"
"Michael King","4"
"Anthony Brown","4"
"Stephanie Garcia","4"
"Christopher Morris","4"
"Elizabeth Morales","4"
"Gary Jones","4"
"Eric Wilson","4"
"John Gardner","4"
"Jeffrey Walker","4"
"Frank Smith","4"
"Maria Martinez","4"
"Victoria Williams","4"
"Rebecca Garcia","4"
"Elizabeth Lopez","4"
"Daniel Lewis","4"
"Robert Garcia","4"
"Maria Smith","4"
"Rebecca Johnson","4"
"Victoria Smith","4"
"David Torres","4"
"Anthony Hernandez","4"
"Anthony Ramirez","4"
"Kevin White","4"
"Danielle Lee","4"
"Christina Thomas","4"
"Linda Brown","4"
"Patricia Wilson","4"
"William Hernandez","4"
"Steven Thomas","4"
"Victoria Brown","4"
"Christina Johnson","4"
"Emily Miller","4"
"Cynthia Williams","4"
"David Mills","4"
"Charles Brown","4"
"Michael Campbell","4"
"Jessica Williams","4"
"Jennifer Gill","4"
"Jennifer Lewis","4"
"Steven Johnson","4"
"Richard Harris","4"
"Jeffrey Davis","4"
"Andrew Johnson","4"
"Joseph Phillips","4"
"Andrew Garcia","4"
"Gabrielle Johnson","4"
"Courtney Smith","4"
"Erin Garcia","4"
"Christopher Henderson","4"
"Richard Taylor","4"
"Anthony Anderson","4"
"Kimberly Johnson","4"
"John Guzman","4"
"Ashley Nunez","3"
"Heather Anderson","3"
"Joseph Morris","3"
"Karen Gonzalez","3"
"Jonathan Olson","3"
"Laura Miller","3"
"Robert Hubbard","3"
"Gregory Lewis","3"
"Alexander Jackson","3"
"Christopher Edwards","3"
"Curtis Davis","3"
"Brandon Moore","3"
"Matthew Jimenez","3"
"Brian Wilson","3"
"Melissa Black","3"
"Steven Parker","3"
"Scott Johnson","3"
"Paul Lee","3"
"Kathleen Brown","3"
"David Richards","3"
"Michael Mitchell","3"
"Jennifer May","3"
"Michael Hanson","3"
"William Walker","3"
"Jacqueline Richardson","3"
"Stephanie Stewart","3"
"Patrick Miller","3"
"Melissa Lee","3"
"Jonathan Martinez","3"
"Christopher Contreras","3"
"Jeffrey Miller","3"
"Todd Diaz","3"
"Elizabeth Sanchez","3"
"Michael Lopez","3"
"John Norton","3"
"Carla Rodriguez","3"
"Amanda Obrien","3"
"Justin Lewis","3"
"Jennifer Reynolds","3"
"Julie Estrada","3"
"Javier Smith","3"
"Aaron White","3"
"Brittany Howard","3"
"Megan Hill","3"
"Richard Ward","3"
"Angela Sanchez","3"
"Elizabeth Daniels","3"
"Nicholas Smith","3"
"Lauren Garcia","3"
"Nicholas Cook","3"
"Steven Patterson","3"
"Michael Clark","3"
"Paul Thomas","3"
"William Wilson","3"
"Taylor Williams","3"
"James Woodard","3"
"Carrie Hernandez","3"
"Lori Williams","3"
"Jeremy Jones","3"
"Jeffrey Williams","3"
"Scott Brown","3"
"Tonya Miller","3"
"Kayla Garcia","3"
"Mary Arnold","3"
"Derrick Garcia","3"
"Jennifer Wheeler","3"
"Nicole Davis","3"
"Kevin Evans","3"
"Susan Martinez","3"
"Amy Clark","3"
"Joshua Robinson","3"
"Brittany Brown","3"
"Justin Martinez","3"
"Ryan Lee","3"
"Crystal Smith","3"
"Deanna Campbell","3"
"Katie Davis","3"
"Thomas Hernandez","3"
"Amy Rodriguez","3"
"David Rodriguez","3"
"Michelle Molina","3"
"Joseph Harris","3"
"Thomas Cruz","3"
"Jeffrey Wood","3"
"James Bowers","3"
"Robert Harrison","3"
"Billy Davis","3"
"Richard Sanchez","3"
"Barry Jones","3"
"Karen Thomas","3"
"Jonathan Brown","3"
"Tracy Rodriguez","3"
"Daniel Lopez","3"
"Dawn Myers","3"
"Linda Johnson","3"
"Teresa Nelson","3"
"Michael Gray","3"
"Barbara Smith","3"
"Matthew Snyder","3"
"Robert Nelson","3"
"Karen Perez","3"
"Jessica Wilson","3"
"Ronald Davis","3"
"Kyle Jackson","3"
"Tammy Davis","3"
"Michelle Dominguez","3"
"Jennifer Green","3"
"Megan Adams","3"
"Jeffrey Hernandez","3"
"William Bailey","3"
"Ryan Turner","3"
"Adrian Davis","3"
"John Thomas","3"
"Michael Gomez","3"
"James Ward","3"
"Brian Ramirez","3"
"Nicholas Anderson","3"
"Amanda Adams","3"
"Matthew Martinez","3"
"Anthony Davis","3"
"Paul Lewis","3"
"Ashley Williams","3"
"Sharon Davis","3"
"Timothy Jones","3"
"Joseph Hernandez","3"
"Sean Davis","3"
"Emily Mitchell","3"
"Lisa Mercado","3"
"Eric Martinez","3"
"Crystal Johnson","3"
"Dawn Williams","3"
"Julie Taylor","3"
"Julie Anderson","3"
"Sarah Turner","3"
"James Ruiz","3"
"Michelle Cruz","3"
"Sara Taylor","3"
"John Carr","3"
"Joseph Alvarado","3"
"Amanda Simmons","3"
"Michael Cruz","3"
"William Flores","3"
"Julie Howard","3"
"Kimberly Estrada","3"
"Emily Smith","3"
"Michael Garza","3"
"James Garza","3"
"Brittany Rodriguez","3"
"Edward Smith","3"
"Anthony Phillips","3"
"Sarah Cole","3"
"Mary Baker","3"
"Katherine Davis","3"
"Robert White","3"
"Michelle Scott","3"
"Catherine Brown","3"
"John Barber","3"
"Tiffany Johnson","3"
"Amber Cooper","3"
"Justin Jones","3"
"Sandra Davis","3"
"Nicholas Morgan","3"
"Brian Martinez","3"
"Kyle Jordan","3"
"David Wagner","3"
"Travis Green","3"
"Sarah Jackson","3"
"Emily Ramirez","3"
"Michael Bennett","3"
"Donald Morales","3"
"Teresa Smith","3"
"Michael Vasquez","3"
"Andrew Hall","3"
"Michael Peterson","3"
"Justin Anderson","3"
"David Clay","3"
"Michael Marshall","3"
"Joseph Price","3"
"Melissa Silva","3"
"Sarah King","3"
"James Woods","3"
"Jason Dixon","3"
"Jennifer Carter","3"
"Mary Lopez","3"
"Christopher Cooper","3"
"Sharon Smith","3"
"Sergio White","3"
"Mark Moore","3"
"Maria Morgan","3"
"Anthony Martin","3"
"Christopher Jimenez","3"
"Raymond Jones","3"
"Joel Smith","3"
"Christopher Thompson","3"
"Alicia Moore","3"
"Casey Long","3"
"Christopher Foster","3"
"Lisa Burns","3"
"Christopher Collins","3"
"Jessica Pratt","3"
"Taylor Brown","3"
"Linda Hall","3"
"Randy Davis","3"
"Lisa Owens","3"
"Danielle Smith","3"
"Donna Wilson","3"
"Michael Hardy","3"
"Kimberly Jackson","3"
"Michael Webster","3"
"David Gardner","3"
"David Silva","3"
"Rebecca Cole","3"
"Christopher Evans","3"
"Robert Gomez","3"
"Stephanie Anderson","3"
"Patricia Taylor","3"
"Christine Harris","3"
"Michael Morris","3"
"Scott Porter","3"
"Marc Smith","3"
"Brian Cooper","3"
"Christopher Hunter","3"
"Michael Obrien","3"
"James Morris","3"
"Julie Johnson","3"
"Jordan Rivera","3"
"Robert Bryant","3"
"Rhonda Moore","3"
"Rebecca Allen","3"
"Linda Miller","3"
"Mark Gonzales","3"
"James Bates","3"
"Kevin Hill","3"
"Christopher Nguyen","3"
"Mark Taylor","3"
"Angela Fuller","3"
"Eric Campbell","3"
"Gary Johnson","3"
"Jason Cox","3"
"Evan Miller","3"
"Brenda Lopez","3"
"Larry Smith","3"
"David Duran","3"
"Kristin Martinez","3"
"Jason Rice","3"
"Robin Miller","3"
"Dawn Hernandez","3"
"James Henderson","3"
"Timothy Holland","3"
"Jennifer Ward","3"
"Stephen Robinson","3"
"Benjamin Davis","3"
"David Rivera","3"
"Matthew Crawford","3"
"Anthony White","3"
"Jennifer Wilson","3"
"Todd Smith","3"
"Karen Williams","3"
"Robert Bradley","3"
"Matthew Martin","3"
"Susan Williams","3"
"Emily Moore","3"
"Lauren Hahn","3"
"James Perez","3"
"Victoria Horton","3"
"Tyler Jensen","3"
"Matthew Adams","3"
"Charles Jones","3"
"Megan Johnson","3"
"Benjamin Williams","3"
"Sandra Johnson","3"
"Daniel Barnes","3"
"Justin Clark","3"
"Matthew Sellers","3"
"Seth Miller","3"
"Casey Davis","3"
"Bruce Young","3"
"Paul Jackson","3"
"Michael Richardson","3"
"John Davis","3"
"Andrea Johnson","3"
"Stephen Miller","3"
"Robert Adams","3"
"Emily Johnson","3"
"David Carter","3"
"Nicole Johnson","3"
"Justin Ramirez","3"
"Eric Jackson","3"
"Laura Martin","3"
"Kelly Wright","3"
"Tiffany Young","3"
"Jennifer Olsen","3"
"Kimberly Allen","3"
"Michael Wright","3"
"John Collins","3"
"Alexander Moore","3"
"David King","3"
"Robert Moore","3"
"Christopher Rogers","3"
"David Hicks","3"
"James Guerrero","3"
"Isabella Smith","3"
"Thomas Martinez","3"
"Christopher Thomas","3"
"Robert Bailey","3"
"Joshua Williams","3"
"Rebecca Green","3"
"Anthony Walker","3"
"Heather Miller","3"
"Adam Miller","3"
"Joseph Gonzalez","3"
"Joshua Rodriguez","3"
"Ashley White","3"
"John Reyes","3"
"Kimberly Howard","3"
"Laura Martinez","3"
"William Harris","3"
"Richard Wood","3"
"Andrew Fisher","3"
"Christopher Scott","3"
"Angela Lee","3"
"Brian White","3"
"Nicole Jones","3"
"Kimberly Hall","3"
"William White","3"
"David Moreno","3"
"John Lucero","3"
"Elizabeth Fisher","3"
"Daniel James","3"
"Brian Clark","3"
"Matthew Rodriguez","3"
"Alexander Stewart","3"
"Sydney Smith","3"
"Gary Brown","3"
"Jessica Sanchez","3"
"Holly Smith","3"
"Michael Stephens","3"
"William Rodriguez","3"
"David Robinson","3"
"Justin Williams","3"
"Jennifer Gibson","3"
"Jeffrey Anderson","3"
"Michael Mcclain","3"
"Kevin Turner","3"
"Heather Lee","3"
"Karen Lee","3"
"Alexander Martinez","3"
"Nicole Perez","3"
"Jeffrey Campbell","3"
"Ashley Jackson","3"
"Jennifer Rodriguez","3"
"Scott Taylor","3"
"Antonio Anderson","3"
"Jennifer Hill","3"
"James Gray","3"
"Cody Johnson","3"
"Michael Rice","3"
"Robert Watts","3"
"Jason Cunningham","3"
"Jeffrey White","3"
"James Jackson","3"
"Anthony Green","3"
"Ann Rodriguez","3"
"Michael Sullivan","3"
"Eric Hurley","3"
"Brian Thompson","3"
"Michael Lewis","3"
"David Delgado","3"
"Matthew Clark","3"
"Jonathan Perry","3"
"Jessica Nguyen","3"
"Karen Green","3"
"Christopher Adams","3"
"Joseph Anderson","3"
"Teresa Garcia","3"
"Mary Wilson","3"
"Jeffrey Ramirez","3"
"David Morrow","3"
"Michael Schultz","3"
"Joshua Brown","3"
"Tanya Smith","3"
"Joshua Perkins","3"
"Rachel Taylor","3"
"Thomas Green","3"
"Jordan Smith","3"
"Kenneth Martin","3"
"Matthew Walker","3"
"Timothy Carter","3"
"Rebecca Thompson","3"
"John Lewis","3"
"Kenneth White","3"
"Ashley Brooks","3"
"Michelle Bailey","3"
"Joseph Bailey","3"
"Elizabeth Allen","3"
"Brian Peterson","3"
"Daniel White","3"
"Paul Brewer","3"
"Charles Thomas","3"
"Leslie Jones","3"
"Vanessa Smith","3"
"Joseph Barnes","3"
"Alexander Rodriguez","3"
"James Thompson","3"
"John Figueroa","3"
"Elizabeth Brown","3"
"Angela Hernandez","3"
